Node_ID,cp_level_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,tr_cited_x,Cluster_ID,cp_level_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,tr_cited_y,network_degree,network_indegree,network_outdegree,cluster_degree,cluster_indegree,cluster_outdegree
9407301,3,2,1,1,2,1,2,93,2.0,1.0,1.0,1.0,1.0,1.0,2.0,7,3,4,1.0,1.0,0.0
108059,13,3,10,18,0,13,151,4,5.0,4.0,1.0,1.0,0.0,5.0,57.0,49,13,36,24.0,4.0,20.0
9501339,51,15,36,126,18,33,105,93,16.0,6.0,10.0,22.0,1.0,15.0,60.0,62,51,11,15.0,7.0,8.0
9806219,81,17,64,174,9,72,255,20,15.0,3.0,12.0,28.0,0.0,15.0,61.0,94,81,13,16.0,14.0,2.0
9301289,21,5,16,54,21,0,0,63,14.0,4.0,10.0,26.0,14.0,0.0,0.0,21,21,0,11.0,11.0,0.0
9305234,2,1,1,1,2,0,0,149,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2,2,0,2.0,2.0,0.0
9610457,5,4,1,1,2,3,12,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,5,35,2.0,0.0,2.0
9511388,94,6,88,704,14,80,273,23,48.0,2.0,46.0,328.0,4.0,44.0,157.0,113,94,19,43.0,37.0,6.0
9310358,58,5,53,223,31,27,30,25,18.0,2.0,16.0,57.0,4.0,14.0,14.0,60,58,2,17.0,16.0,1.0
9207279,197,51,146,775,197,0,0,10,27.0,11.0,16.0,88.0,27.0,0.0,0.0,197,197,0,21.0,21.0,0.0
9212245,18,6,12,46,18,0,0,10,8.0,2.0,6.0,17.0,8.0,0.0,0.0,18,18,0,8.0,8.0,0.0
9208205,41,8,33,95,16,25,25,69,21.0,4.0,17.0,37.0,5.0,16.0,16.0,42,41,1,13.0,12.0,1.0
9207218,75,16,59,233,75,0,0,87,25.0,2.0,23.0,115.0,25.0,0.0,0.0,75,75,0,22.0,22.0,0.0
3184,57,9,48,272,2,55,535,0,36.0,4.0,32.0,199.0,1.0,35.0,325.0,113,57,56,43.0,24.0,19.0
9803299,74,5,69,394,3,71,279,0,43.0,3.0,40.0,261.0,0.0,43.0,180.0,85,74,11,40.0,34.0,6.0
9812308,8,6,2,2,0,8,39,3,5.0,4.0,1.0,1.0,0.0,5.0,23.0,26,8,18,1.0,1.0,0.0
9805238,26,1,25,83,9,17,23,0,9.0,1.0,8.0,13.0,5.0,4.0,4.0,31,26,5,11.0,10.0,1.0
9911524,68,8,60,293,0,68,492,0,39.0,3.0,36.0,195.0,0.0,39.0,294.0,107,68,39,39.0,25.0,14.0
9604415,13,7,6,9,11,2,4,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,15,13,2,2.0,2.0,0.0
9811252,47,3,44,257,2,45,108,3,38.0,2.0,36.0,195.0,3.0,35.0,79.0,59,47,12,17.0,16.0,1.0
9907532,61,12,49,207,5,56,389,3,37.0,8.0,29.0,130.0,0.0,37.0,320.0,85,61,24,35.0,18.0,17.0
9703465,68,10,58,271,13,55,142,0,37.0,4.0,33.0,185.0,2.0,35.0,67.0,81,68,13,29.0,27.0,2.0
9209259,16,10,6,8,16,0,0,250,12.0,6.0,6.0,8.0,12.0,0.0,0.0,16,16,0,7.0,7.0,0.0
9803415,45,6,39,155,2,43,104,0,8.0,2.0,6.0,10.0,8.0,0.0,0.0,51,45,6,12.0,12.0,0.0
9511323,8,1,7,12,4,4,5,91,3.0,1.0,2.0,3.0,3.0,0.0,0.0,13,8,5,4.0,3.0,1.0
9807361,32,11,21,124,17,15,35,0,17.0,2.0,15.0,92.0,17.0,0.0,0.0,37,32,5,16.0,16.0,0.0
9704253,29,7,22,78,7,22,55,3,16.0,4.0,12.0,34.0,2.0,14.0,34.0,36,29,7,13.0,10.0,3.0
9505383,11,6,5,5,0,11,34,3,2.0,2.0,0.0,0.0,0.0,2.0,7.0,21,11,10,5.0,1.0,4.0
9711358,12,9,3,3,7,5,14,0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,27,12,15,2.0,2.0,0.0
9506228,21,11,10,16,4,17,52,0,7.0,3.0,4.0,5.0,0.0,7.0,20.0,50,21,29,4.0,4.0,0.0
9338,5,3,2,3,1,4,21,81,3.0,1.0,2.0,3.0,0.0,3.0,19.0,21,5,16,9.0,3.0,6.0
9512429,12,4,8,23,11,1,1,10,6.0,1.0,5.0,10.0,6.0,0.0,0.0,13,12,1,7.0,7.0,0.0
9710406,11,4,7,22,6,5,9,187,7.0,1.0,6.0,20.0,2.0,5.0,8.0,16,11,5,9.0,7.0,2.0
9804261,12,2,10,26,0,12,70,46,8.0,2.0,6.0,12.0,0.0,8.0,49.0,21,12,9,10.0,4.0,6.0
9504323,3,2,1,1,1,2,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,12,1.0,0.0,1.0
9503248,13,3,10,21,0,13,53,63,7.0,2.0,5.0,9.0,1.0,6.0,24.0,20,13,7,13.0,8.0,5.0
9710273,4,4,0,0,2,2,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,11,2.0,0.0,2.0
9710401,114,18,96,614,11,103,904,15,57.0,3.0,54.0,439.0,0.0,57.0,710.0,167,114,53,65.0,30.0,35.0
9707430,44,8,36,215,11,33,78,4,30.0,4.0,26.0,151.0,10.0,20.0,24.0,54,44,10,25.0,24.0,1.0
9606345,155,65,90,248,102,53,112,16,10.0,6.0,4.0,13.0,0.0,10.0,17.0,163,155,8,12.0,9.0,3.0
9210240,58,22,36,116,54,4,4,10,16.0,7.0,9.0,23.0,16.0,0.0,0.0,59,58,1,8.0,8.0,0.0
9403350,41,5,36,182,11,30,44,12,24.0,1.0,23.0,93.0,6.0,18.0,24.0,46,41,5,16.0,14.0,2.0
9908451,11,6,5,12,0,11,94,12,4.0,1.0,3.0,4.0,0.0,4.0,48.0,56,11,45,7.0,3.0,4.0
9703276,140,6,134,1344,36,104,302,36,83.0,2.0,81.0,1045.0,14.0,69.0,143.0,162,140,22,62.0,61.0,1.0
9706398,16,3,13,27,12,4,4,48,8.0,2.0,6.0,10.0,8.0,0.0,0.0,17,16,1,3.0,3.0,0.0
1290,30,6,24,52,17,13,29,1,9.0,3.0,6.0,12.0,9.0,0.0,0.0,36,30,6,6.0,6.0,0.0
9903363,107,14,93,573,19,88,216,32,36.0,1.0,35.0,210.0,7.0,29.0,39.0,120,107,13,20.0,20.0,0.0
8143,23,6,17,58,0,23,194,2,15.0,4.0,11.0,42.0,0.0,15.0,120.0,50,23,27,22.0,12.0,10.0
9509287,26,4,22,65,0,26,114,1,22.0,4.0,18.0,51.0,0.0,22.0,100.0,34,26,8,21.0,15.0,6.0
9804393,15,7,8,12,1,14,58,1,5.0,3.0,2.0,2.0,0.0,5.0,26.0,31,15,16,6.0,5.0,1.0
9512396,127,7,120,1306,24,103,213,23,63.0,1.0,62.0,806.0,8.0,55.0,100.0,133,127,6,55.0,53.0,2.0
9612394,69,6,63,376,8,61,169,67,38.0,4.0,34.0,208.0,2.0,36.0,69.0,86,69,17,31.0,28.0,3.0
104034,79,20,59,161,12,67,418,7,25.0,4.0,21.0,61.0,1.0,24.0,249.0,118,79,39,40.0,17.0,23.0
9504324,81,21,60,185,22,59,281,10,12.0,3.0,9.0,29.0,12.0,0.0,0.0,157,81,76,11.0,10.0,1.0
9612426,48,7,41,220,5,43,223,5,35.0,5.0,30.0,178.0,0.0,35.0,187.0,62,48,14,18.0,17.0,1.0
9706540,58,9,49,189,11,47,190,5,18.0,5.0,13.0,38.0,0.0,18.0,109.0,69,58,11,10.0,8.0,2.0
9603379,13,4,9,27,8,5,11,87,9.0,2.0,7.0,21.0,9.0,0.0,0.0,18,13,5,8.0,8.0,0.0
9409396,10,3,7,14,0,10,39,93,10.0,3.0,7.0,14.0,0.0,10.0,39.0,16,10,6,16.0,10.0,6.0
9703435,10,7,3,5,5,5,7,48,1.0,1.0,0.0,0.0,0.0,1.0,1.0,17,10,7,3.0,3.0,0.0
9709301,27,14,13,27,3,24,192,1,9.0,2.0,7.0,17.0,0.0,9.0,61.0,212,27,185,16.0,2.0,14.0
105252,4,4,0,0,0,4,7,580,3.0,3.0,0.0,0.0,1.0,2.0,2.0,7,4,3,4.0,2.0,2.0
9706520,50,11,39,133,4,46,300,6,30.0,7.0,23.0,76.0,0.0,30.0,229.0,68,50,18,16.0,12.0,4.0
9912372,7,4,3,4,1,6,19,1,2.0,1.0,1.0,1.0,0.0,2.0,3.0,24,7,17,2.0,2.0,0.0
9604438,42,14,28,77,3,39,140,6,13.0,4.0,9.0,15.0,2.0,11.0,12.0,67,42,25,7.0,5.0,2.0
9610478,10,2,8,12,6,4,4,1,,,,,,,,11,10,1,2.0,2.0,0.0
9406286,25,6,19,49,6,19,95,7,8.0,2.0,6.0,13.0,1.0,7.0,12.0,42,25,17,13.0,5.0,8.0
7170,9,1,8,16,0,9,48,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,27,9,18,2.0,0.0,2.0
9403362,35,8,27,108,12,23,42,4,22.0,4.0,18.0,77.0,5.0,17.0,30.0,40,35,5,17.0,15.0,2.0
9904425,36,3,33,166,0,36,556,2,26.0,1.0,25.0,150.0,0.0,26.0,501.0,68,36,32,45.0,20.0,25.0
9510256,6,6,0,0,5,1,1,174,2.0,2.0,0.0,0.0,2.0,0.0,0.0,8,6,2,2.0,2.0,0.0
9702244,36,2,34,206,1,35,270,21,30.0,2.0,28.0,179.0,0.0,30.0,229.0,59,36,23,37.0,23.0,14.0
9307369,15,5,10,15,15,0,0,7,3.0,2.0,1.0,1.0,3.0,0.0,0.0,16,15,1,3.0,3.0,0.0
9406427,43,13,30,94,3,40,248,75,15.0,7.0,8.0,15.0,0.0,15.0,83.0,71,43,28,20.0,11.0,9.0
9401226,88,12,76,291,15,73,417,6,40.0,4.0,36.0,135.0,3.0,37.0,252.0,104,88,16,25.0,17.0,8.0
9605235,86,3,83,711,5,81,439,15,62.0,1.0,61.0,586.0,1.0,61.0,384.0,99,86,13,57.0,45.0,12.0
9209245,48,11,37,251,48,0,0,15,34.0,6.0,28.0,211.0,34.0,0.0,0.0,48,48,0,20.0,20.0,0.0
9503227,3,2,1,2,3,0,0,12,,,,,,,,5,3,2,1.0,1.0,0.0
9901382,6,4,2,2,1,5,18,76,1.0,1.0,0.0,0.0,0.0,1.0,2.0,15,6,9,3.0,1.0,2.0
9408207,25,4,21,76,25,0,0,76,21.0,2.0,19.0,72.0,21.0,0.0,0.0,25,25,0,17.0,17.0,0.0
9602334,21,5,16,39,7,14,30,62,10.0,4.0,6.0,17.0,0.0,10.0,25.0,26,21,5,10.0,6.0,4.0
9306240,71,12,59,316,18,53,71,19,19.0,2.0,17.0,54.0,6.0,13.0,13.0,73,71,2,16.0,15.0,1.0
9309246,17,6,11,31,4,13,23,62,8.0,5.0,3.0,6.0,1.0,7.0,15.0,20,17,3,6.0,4.0,2.0
9309234,51,12,39,139,42,9,9,30,16.0,2.0,14.0,50.0,16.0,0.0,0.0,52,51,1,8.0,7.0,1.0
9411220,10,6,4,6,10,0,0,126,6.0,3.0,3.0,5.0,6.0,0.0,0.0,10,10,0,4.0,4.0,0.0
9611225,25,1,24,102,17,8,10,127,23.0,1.0,22.0,96.0,23.0,0.0,0.0,28,25,3,18.0,18.0,0.0
9701303,62,7,55,315,0,62,317,16,38.0,2.0,36.0,227.0,2.0,36.0,127.0,87,62,25,28.0,23.0,5.0
9612415,17,6,11,25,0,17,61,57,10.0,2.0,8.0,17.0,3.0,7.0,17.0,28,17,11,12.0,8.0,4.0
9610215,1,1,0,0,0,1,3,11,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4,1,3,,,
9304276,39,18,21,42,39,0,0,236,13.0,6.0,7.0,14.0,13.0,0.0,0.0,39,39,0,10.0,10.0,0.0
9211322,57,11,46,180,57,0,0,62,29.0,5.0,24.0,109.0,29.0,0.0,0.0,57,57,0,17.0,17.0,0.0
9904274,5,1,4,6,1,4,18,80,3.0,1.0,2.0,2.0,1.0,2.0,7.0,17,5,12,6.0,4.0,2.0
9602351,64,9,55,266,14,50,171,30,37.0,2.0,35.0,210.0,7.0,30.0,72.0,96,64,32,30.0,25.0,5.0
9703446,22,9,13,33,4,18,74,114,5.0,2.0,3.0,3.0,0.0,5.0,19.0,39,22,17,11.0,5.0,6.0
9505389,3,2,1,1,1,2,2,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,4,2.0,2.0,0.0
3146,13,4,9,14,0,13,103,6,8.0,4.0,4.0,7.0,1.0,7.0,27.0,36,13,23,18.0,7.0,11.0
9304274,8,5,3,4,8,0,0,208,3.0,3.0,0.0,0.0,3.0,0.0,0.0,8,8,0,1.0,1.0,0.0
9703404,32,1,31,166,6,26,64,24,24.0,1.0,23.0,140.0,6.0,18.0,31.0,39,32,7,24.0,23.0,1.0
9204206,14,10,4,4,14,0,0,29,4.0,2.0,2.0,2.0,4.0,0.0,0.0,14,14,0,3.0,3.0,0.0
9409453,35,9,26,93,11,24,59,6,26.0,5.0,21.0,77.0,6.0,20.0,46.0,39,35,4,19.0,16.0,3.0
9607400,29,7,22,57,17,12,32,4,3.0,2.0,1.0,1.0,1.0,2.0,9.0,38,29,9,1.0,0.0,1.0
9705464,8,4,4,4,1,7,14,103,4.0,1.0,3.0,3.0,0.0,4.0,8.0,13,8,5,4.0,1.0,3.0
9509312,63,19,44,209,8,55,152,8,19.0,2.0,17.0,81.0,0.0,19.0,53.0,80,63,17,19.0,16.0,3.0
9403346,10,7,3,6,10,0,0,93,4.0,2.0,2.0,2.0,4.0,0.0,0.0,10,10,0,5.0,5.0,0.0
9411409,65,14,51,291,65,0,0,45,37.0,4.0,33.0,209.0,37.0,0.0,0.0,65,65,0,26.0,26.0,0.0
9912274,23,6,17,31,4,19,78,20,4.0,2.0,2.0,2.0,4.0,0.0,0.0,34,23,11,10.0,7.0,3.0
9906369,1,1,0,0,0,1,8,45,1.0,1.0,0.0,0.0,0.0,1.0,8.0,9,1,8,,,
9306294,88,13,75,370,39,49,52,22,44.0,3.0,41.0,257.0,22.0,22.0,22.0,90,88,2,31.0,30.0,1.0
9401309,22,6,16,51,22,0,0,22,14.0,1.0,13.0,42.0,14.0,0.0,0.0,22,22,0,8.0,8.0,0.0
9810313,31,5,26,152,0,31,198,22,25.0,3.0,22.0,136.0,0.0,25.0,134.0,48,31,17,34.0,23.0,11.0
9405371,21,9,12,26,8,13,14,88,4.0,2.0,2.0,5.0,1.0,3.0,3.0,24,21,3,5.0,4.0,1.0
9704414,13,3,10,21,0,13,46,88,8.0,2.0,6.0,13.0,0.0,8.0,32.0,27,13,14,13.0,6.0,7.0
101251,6,4,2,2,1,5,22,22,3.0,2.0,1.0,1.0,0.0,3.0,9.0,21,6,15,3.0,1.0,2.0
9610400,75,3,72,518,2,73,211,21,55.0,2.0,53.0,438.0,0.0,55.0,174.0,83,75,8,42.0,37.0,5.0
9608341,5,4,1,2,0,5,38,21,2.0,1.0,1.0,1.0,0.0,2.0,21.0,19,5,14,4.0,0.0,4.0
3035,13,6,7,12,0,13,95,39,9.0,3.0,6.0,11.0,0.0,9.0,62.0,31,13,18,21.0,7.0,14.0
9710213,9,2,7,20,0,9,21,19,9.0,2.0,7.0,20.0,0.0,9.0,21.0,12,9,3,1.0,1.0,0.0
9812455,32,4,28,113,3,29,62,80,17.0,3.0,14.0,66.0,1.0,16.0,25.0,39,32,7,16.0,14.0,2.0
9909506,69,4,65,701,0,69,141,19,58.0,3.0,55.0,637.0,0.0,58.0,123.0,74,69,5,50.0,47.0,3.0
9612204,12,4,8,14,2,10,36,8,4.0,1.0,3.0,5.0,0.0,4.0,11.0,34,12,22,8.0,4.0,4.0
9505343,15,8,7,7,5,10,24,39,3.0,1.0,2.0,2.0,0.0,3.0,6.0,20,15,5,5.0,3.0,2.0
5094,18,1,17,57,2,16,88,20,15.0,1.0,14.0,52.0,0.0,15.0,86.0,26,18,8,2.0,2.0,0.0
9812445,69,3,66,483,1,68,226,20,50.0,1.0,49.0,441.0,1.0,49.0,150.0,79,69,10,43.0,40.0,3.0
9908212,28,3,25,105,1,27,192,20,27.0,2.0,25.0,105.0,0.0,27.0,192.0,43,28,15,30.0,20.0,10.0
9307222,50,9,41,152,50,0,0,49,18.0,4.0,14.0,25.0,18.0,0.0,0.0,50,50,0,11.0,11.0,0.0
9503376,19,4,15,32,5,14,40,7,5.0,1.0,4.0,6.0,3.0,2.0,2.0,26,19,7,7.0,6.0,1.0
9501304,29,7,22,78,8,21,37,136,24.0,4.0,20.0,76.0,4.0,20.0,36.0,31,29,2,22.0,20.0,2.0
9506309,12,8,4,6,5,7,10,220,6.0,3.0,3.0,4.0,6.0,0.0,0.0,15,12,3,5.0,4.0,1.0
9801282,29,8,21,67,12,17,47,13,14.0,3.0,11.0,45.0,3.0,11.0,29.0,36,29,7,12.0,12.0,0.0
211218,6,1,5,10,0,6,35,37,6.0,1.0,5.0,10.0,0.0,6.0,33.0,27,6,21,15.0,6.0,9.0
9906513,68,2,66,350,1,67,388,2,33.0,1.0,32.0,132.0,13.0,20.0,20.0,94,68,26,21.0,20.0,1.0
9203222,38,13,25,56,31,7,7,6,4.0,3.0,1.0,1.0,2.0,2.0,2.0,39,38,1,5.0,4.0,1.0
9702300,11,3,8,11,1,10,51,6,5.0,3.0,2.0,3.0,0.0,5.0,30.0,29,11,18,14.0,3.0,11.0
9610242,17,5,12,26,17,0,0,5,7.0,1.0,6.0,16.0,7.0,0.0,0.0,17,17,0,3.0,3.0,0.0
9505308,48,15,33,108,48,0,0,61,13.0,5.0,8.0,20.0,13.0,0.0,0.0,48,48,0,9.0,9.0,0.0
9603350,38,13,25,53,8,30,119,10,7.0,2.0,5.0,10.0,0.0,7.0,23.0,79,38,41,7.0,5.0,2.0
9210280,31,8,23,81,24,7,9,75,10.0,4.0,6.0,16.0,8.0,2.0,2.0,33,31,2,8.0,8.0,0.0
9707475,21,9,12,30,2,19,95,60,8.0,1.0,7.0,18.0,0.0,8.0,57.0,35,21,14,16.0,8.0,8.0
9511470,6,1,5,7,0,6,9,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,10,2.0,2.0,0.0
9804365,6,3,3,3,0,6,31,5,3.0,1.0,2.0,2.0,0.0,3.0,9.0,27,6,21,11.0,3.0,8.0
9607414,47,13,34,124,2,45,206,5,22.0,5.0,17.0,82.0,0.0,22.0,78.0,79,47,32,19.0,15.0,4.0
9610224,61,12,49,186,4,57,391,18,5.0,4.0,1.0,1.0,0.0,5.0,43.0,99,61,38,25.0,8.0,17.0
9603360,6,4,2,3,4,2,2,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,3,1.0,0.0,1.0
5151,7,4,3,3,5,2,4,4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,16,7,9,7.0,0.0,7.0
9308336,111,6,105,1127,94,17,49,23,56.0,1.0,55.0,689.0,56.0,0.0,0.0,117,111,6,46.0,46.0,0.0
9702426,27,9,18,54,1,26,115,92,14.0,4.0,10.0,26.0,1.0,13.0,50.0,43,27,16,17.0,12.0,5.0
9911468,1,1,0,0,0,1,8,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1,39,9.0,0.0,9.0
9809521,82,5,77,380,10,72,313,70,54.0,1.0,53.0,324.0,0.0,54.0,279.0,92,82,10,44.0,37.0,7.0
9902267,41,6,35,120,10,31,46,0,8.0,1.0,7.0,16.0,8.0,0.0,0.0,44,41,3,5.0,5.0,0.0
9904225,17,7,10,13,2,15,54,0,3.0,3.0,0.0,0.0,0.0,3.0,10.0,33,17,16,12.0,3.0,9.0
9809426,18,3,15,39,0,18,73,28,11.0,3.0,8.0,19.0,0.0,11.0,41.0,30,18,12,12.0,6.0,6.0
9604288,8,4,4,5,5,3,4,501,4.0,2.0,2.0,2.0,4.0,0.0,0.0,11,8,3,3.0,3.0,0.0
9310361,4,2,2,2,2,2,2,36,2.0,1.0,1.0,1.0,0.0,2.0,2.0,6,4,2,,,
9711293,3,3,0,0,3,0,0,238,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3,3,0,3.0,3.0,0.0
9611310,31,12,19,38,19,12,21,84,6.0,3.0,3.0,4.0,1.0,5.0,9.0,37,31,6,6.0,4.0,2.0
9603291,10,5,5,11,3,7,12,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,10,12,3.0,3.0,0.0
9507261,15,5,10,19,0,15,73,10,6.0,1.0,5.0,7.0,0.0,6.0,35.0,35,15,20,9.0,5.0,4.0
9904449,2,2,0,0,0,2,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,21,3.0,0.0,3.0
9403329,5,4,1,1,5,0,0,67,2.0,2.0,0.0,0.0,2.0,0.0,0.0,5,5,0,1.0,1.0,0.0
9709242,6,3,3,3,0,6,44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,25,6.0,0.0,6.0
9610367,9,5,4,6,2,7,20,29,6.0,3.0,3.0,5.0,0.0,6.0,15.0,16,9,7,2.0,2.0,0.0
9603233,30,8,22,67,3,27,146,32,8.0,2.0,6.0,7.0,0.0,8.0,41.0,50,30,20,4.0,3.0,1.0
9304223,34,5,29,91,34,0,0,182,22.0,1.0,21.0,79.0,22.0,0.0,0.0,34,34,0,20.0,20.0,0.0
9507432,8,3,5,8,2,6,35,75,2.0,1.0,1.0,1.0,0.0,2.0,13.0,23,8,15,11.0,2.0,9.0
7328,16,2,14,44,2,14,69,55,4.0,1.0,3.0,5.0,0.0,4.0,38.0,31,16,15,7.0,7.0,0.0
9205,29,5,24,42,1,28,104,3,6.0,2.0,4.0,5.0,6.0,0.0,0.0,43,29,14,11.0,8.0,3.0
9610527,14,1,13,22,0,14,39,31,10.0,1.0,9.0,16.0,0.0,10.0,31.0,20,14,6,11.0,6.0,5.0
9904223,18,8,10,13,4,14,52,31,6.0,1.0,5.0,6.0,1.0,5.0,15.0,28,18,10,8.0,5.0,3.0
104028,17,5,12,21,7,10,16,18,11.0,2.0,9.0,16.0,6.0,5.0,9.0,34,17,17,3.0,3.0,0.0
9607465,34,7,27,91,3,31,100,60,12.0,3.0,9.0,32.0,0.0,12.0,31.0,51,34,17,14.0,11.0,3.0
102238,30,7,23,176,0,30,240,23,24.0,2.0,22.0,168.0,0.0,24.0,222.0,55,30,25,24.0,18.0,6.0
1172,46,8,38,92,2,44,142,5,6.0,3.0,3.0,4.0,6.0,0.0,0.0,65,46,19,6.0,5.0,1.0
103076,10,5,5,6,1,9,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,10,43,13.0,0.0,13.0
112013,11,5,6,9,1,10,74,18,2.0,2.0,0.0,0.0,0.0,2.0,20.0,42,11,31,4.0,4.0,0.0
9801446,33,7,26,84,0,33,218,5,17.0,3.0,14.0,40.0,0.0,17.0,41.0,57,33,24,20.0,12.0,8.0
9904452,12,5,7,11,1,11,56,13,6.0,1.0,5.0,9.0,0.0,6.0,39.0,37,12,25,8.0,1.0,7.0
